" ticket_id"," title"
"1-177","Improve gitmodules file parsing"
"1-176","2.0 Support?"
"1-175","replace rake/rdoctask with rdoc/task"
"1-174","License missing from gemspec"
"1-173","No method error in loop.rb"
"1-172","Load repo upwards in specified path"
"1-171","Grit clone using ssh agent"
"1-169","Fix two bugs"
"1-168","Pass options to Grit::Repo#remote_fetch"
"1-166","Exception raised when checking out a specific commit"
"1-165","Fix Tempfile args in Ruby 1.9 to use binary enc"
"1-164","Implemented #163: grep search feature"
"1-162","Use --work-tree in 'native' git method"
"1-161","Modified to use UTF-8 encoding. (Works with Ruby 2.0)"
"1-160","Make tests pass in Ruby 2.0."
"1-159","Fix deprecation error and warning in test suite"
"1-158","Index - remove empty directories"
"1-156","Issue 117: Fixed wrong magic comparition."
"1-155","Ruby 2.0 compatibility fix"
"1-153","commit_index and commits_since don't seem te work well together. Intermitting problem "
"1-152","Support Ruby >= 2.0 not only 1.9"
"1-150","If there is non-ascii chars in the filename, diff parse failed."
"1-148","Grit doesn't correctly identify renames"
"1-147","Fix git executable search on windows (improved)."
"1-146","Minor change, added method to Status class"
"1-145","Make refs support submodules"
"1-144","use git-mktag for Grit::Tag.create_tag_object"
"1-142","Differentiate between Modified files and Unstaged changes"
"1-141","NoMethodError when dealing with a GPG signed commit"
"1-139","Grit crashes when dealing with files that have accented characters in them"
"1-138","Commit timestamps retain timezone info in Ruby 1.9."
"1-137","exclude git directories from git_binary function"
"1-136","Incorrect array access fix"
"1-135","change to the correct way of init a bare repo"
"1-134","Handle encoding header of Git commits when possible."
"1-133","Grit::Repo#commits_since incorrectly lists all commits"
"1-132","Files are deleted after commit"
"1-131","Is it alive?"
"1-130","strip newlines from tree entry names"
"1-124","Parse log with options"
"1-122","Is there any plans to rewrite grit with rugged?"
"1-121","More efficient counting of tags/remotes/heads "
"1-120","Feature/workdir"
"1-119","Feature/basename"
"1-118","Hooks"
"1-117","Grit::GitRuby::Internal::PackFormatError"
"1-116","Added UTF-8 to filenames"
"1-115","Travis"
"1-114","Repo.git.refs should support separate .git directories"
"1-113","Add Gemfile"
"1-112","Grit::Actor#== method for testing equality."
"1-109","rev_list broken with utf-8 commit message (Encoding::CompatibilityError)"
"1-108","Make Grit::Status ignore submodule-contained files"
"1-107","Bump version and release on Rubygems?"
"1-104","Make grit compatible with git projects using the gitfile repository format"
"1-102","Add Grit::Repo::remote method"
"1-101","Whitespaces in filenames lead to truncated names in commit stats"
"1-100","Fixed Grit::Repo#diff to show diff for commits to unicode file names"
"1-99","added correct location detection for win32 git binary"
"1-98","StatusFile::ignored"
"1-96","Commit stats for Ruby libraries does not work (Rails app does)"
"1-95","Faster tree parsing"
"1-94","Ability to specify line range for git blame"
"1-93","Exception: undefined method `close' for nil:NilClass"
"1-91","remote_list doesn't show newly created remotes"
"1-90","Allow numeric option arguments"
"1-88","test failures"
"1-87","tags method does not return but burns CPU"
"1-86","Fixing numstat parsing for cases where files have spaces in their filepath"
"1-85","Use native cat-file instead of Grit::GitRuby#cat_file to get blob size"
"1-84","Fix two ifs"
"1-83","Fixed Grit::Git#options_to_argv generates invalid sequence of arguments."
"1-82","Fixing a typo, :base should be :bare"
"1-81","Fix Repository#rev_list silently ignoring :since and :until when they're of a class other than Time"
"1-80","Fix Repository#rev_list when called with :until"
"1-79","Better count"
"1-76","Warning about ""spawn"" method redefinition"
"1-75","Fix git executable search on windows."
"1-70","Fixed commits_since method"
"1-67","Stack Level Too Deep in unpack_compressed"
"1-66","git config --get-all not supported"
"1-63","unable to unpack files stored with pack.window 0"
"1-57","Error when trying to get commits in the empty repo"
"1-56","git.rev_list is incorrect for tags"
"1-55","Support git hooks"
"1-54","Index#write_tree won't remove directories"
"1-53","Avoid spurious changes in diff-* commands"
"1-52","Memoize index"
"1-47","NoSuchPathError when cloning remote repo via ssh. Cloning remote also seems a little difficult."
"1-45","Make Repo#diff return valid blobs"
"1-43","Use appropriate working tree in git commands"
"1-41","grit.commits_since... SystemStackError: stack level too deep"
"1-39","Improved repository check in Repo#initialize"
"1-38","Grit::GitRuby::Repository.rev_list can produce results in the wrong order (parent before child)"
"1-34","test_tag.rb 's ordering of tags disagrees with git(1)."
"1-33","Include Rakefile and tests in gem"
"1-32","Hunks"
"1-31","Git pull and reset"
"1-30","Repo.commit deletes objects that don't exist on the FS"
"1-28","How can I get remote repository with grit?"
"1-27","Invalid tar file on windows"
"1-24","1.9 Encoding Issue"
"1-21","Make remote/HEAD resolve to a commit id"
"1-19","Tree#to_s to give sha1?"
"1-18","Difficult to get tree sha1 from repo/head"
"1-17","init_bare ignores errors from git-init"
"1-16","r.head.commit is 'HEAD' in empty repo"
"1-15","update_ref is not atomic"
"1-14",".git/description missing on server"
"1-12","I get nil for blob.name when fetched directly from the Repo"
"1-10","Grit::Git#sh has problem with stdout.read on Passenger"
"1-4","win32 popen3"
"1-3","Need to set --work-tree"
"1-2","Should throw errors"
"27-2780","Missing rubysl-tracer as default gem"
"27-2779","Make configure --llvm-path check llvm version"
"27-2778","Process.spawn with non-existing command should set $? accordingly."
"27-2776","crash report - Thread deadlock in ::lock()!"
"27-2775","crash during execution"
"27-2772","IO#read without args on a socket should return ASCII-8BIT string"
"27-2771","rb_io_get_io missing from C-API"
"27-2765","Omniauth undefined method `encoding' on nil:NilClass."
"27-2764","Unable to unpack bootstrap gems during configure"
"27-2758","getsockopt with symbol level,optname fails"
"27-2756","still missing some socket constants"
"27-2754","FD_CLOEXEC should be default for Ruby 2.0 compatibility"
"27-2746","BigDecimal is too slow (need benchmark)"
"27-2740"," Too many open files - creating pipe (Errno::EMFILE)"
"27-2737","Some failures when running the mspecs on OpenBSD"
"27-2734","Rubinius build options override those provided to gem installs"
"27-2732","Unable to rbx -S gem install bundler with rubinius 2.1.1 on OpenBSD"
"27-2730","RSpec / Rails: Slow startup/run times."
"27-2711","Global variables with local scope"
"27-2710","JSON.dump performance issue"
"27-2708","crash report"
"27-2692","Abort on running a threaded task"
"27-2691","Installing rubinius 2.x.x fails"
"27-2685","IO#ensure_open_and_writable might not check writability correctly"
"27-2682","Rails server raises exception"
"27-2679","Crash when firing up Rails app"
"27-2678","Problem destructuring block arguments with unused (_) variables"
"27-2674","Crash when using Pry in highly concurrent environment"
"27-2673","Crash when very quickly creating 300+ threads"
"27-2669","keyword arguments"
"27-2666","Encoding related spec failures in Debian chroot"
"27-2662","mysql2 related crashes when running specs"
"27-2661","UDP sockets fail when sending multiple packets to non-listening port"
"27-2641","Intern array literals (%i[a b c]) are not implemented"
"27-2629","Add rb_class_real per #2358"
"27-2628","Possible Mutex bug"
"27-2627","no such file to load -- rubygems/path_support (LoadError)"
"27-2621","crash report"
"27-2604","LANG unset"
"27-2603","assignment-in-if statement inconsistency"
"27-2600","TopLevel and Object.const_set should automatically set Module#name of anonymous modules"
"27-2598","avdi/naught test suite failing from Module#const_set"
"27-2596","Proc#block inconsistency"
"27-2595","Lambda literal syntax with arguments and whitespace"
"27-2574","do-block argument parsing inconsistency"
"27-2522","String delete/tr slowish compared to MRI"
"27-2507","getaddrinfo causing crash under sidekiq"
"27-2504","Deployable engine version doesn't match local version, can't bundle"
"27-2478","Dir['**/**/**'] raises ""Coercion error: nil.to_str => String failed"", ""0"
"27-2471","JIT problem"
"27-2462","Nokogiri test suite crashes"
"27-2442","Strange transient failures with Racc"
"27-2438","Faster Primality Testing and Factorization Methods for Ruby"
"27-2390","Make ObjectSpace.each_object(Class|Module) faster"
"27-2380","Strip omit-frame-pointer flag"
"27-2379","Running rake a second time the same failure should show up"
"27-2362","sendmesg (blocking) of class BasicSocket crashes the thread of the thread pool"
"27-2358","rb_class_real() missing from C API"
"27-2335","Strange typing behaviour using -n option"
"27-2331","Building Melbourne for Rubinius, fails on armv7l"
"27-2327","Bunny master tests fail on Rubinius"
